Description,Title,URL,Compensation,Address,Employment Type
"ERS, a leading energy engineering firm, is looking for an energy efficiency professional for their attractive downtown Troy, New York growing office. ERS specializes in assessment of energy efficiency projects; the design, implementation and evaluation of energy efficiency programs for utilities and state organizations; renewable/sustainable building assessment; and energy analysis. ERS is headquartered in North Andover, Massachusetts with additional offices throughout the United States. 

The Director position will include managing staff and projects, working with existing clients and growing the business in the region. 

This position requires experience in the fields of energy efficiency engineering and/or consulting as well as strong project management skills. Knowledge of both energy efficiency practices and energy efficiency programs is preferred. 

 We are seeking candidates who have experience in some of the following areas:

• Energy Efficiency Program Management
• Engineering Staff Management
• Business Development
• Comprehensive Energy Assessments & Analyses 
• Industrial Process Efficiency and Productivity 
• Demand Management and Demand Response Strategies 
• Commissioning/Retro-Commissioning Services 
• Monitoring & Verification (M&V) and Impact Evaluation 
• High Performance and Green Buildings/LEED Certification 
• Building Simulation & Building Science 
• Compressed Air Supply and Demand-Side Enhancements 
• Lighting Design 

The successful candidate should also have strong communication and computer skills, be comfortable working with a diverse group of clients and managing staff assignments. 

ERS offers competitive salaries commensurate with experience and background, a comprehensive benefits package, relocation assistance and an excellent opportunity for growth.

The Troy location offers a picturesque setting along the water near New York's capitol city. Located just outside Albany along the Hudson River, Troy, a small centuries-old town is undergoing revitalization. Troy is a slower-moving and historically preserved slice of Americana. 

If you desire to have an impact on the growth of a company and want to work for a dynamic hardworking but fun environment, please email your resume, a cover letter explaining your interest in energy efficiency, and salary requirements to recruiting@ers-inc.com. Please note job code DTNY in subject line. 

No Recruiters please.",Wanted Energy Efficiency Professional/ Director: Seeking to Relocate,https://newyork.craigslist.org/mnh/egr/6114132331.html,DOE,"Troy, NY",full-time
"Forum Phi Architecture | Interiors | Planning seeks Architects, Interior Designers and Interns with 0-8 years of experience for multiple positions in our offices in both Aspen and Basalt, Colorado.  Ideal candidates will be collaborative, solution-oriented and on the path to licensure.  A Masters or Bachelors degree in Architecture or related field and strong technical capabilities required.  Competitive salary and exceptional benefits. Work for Outside Magazines #1 Best Place to Work for 2016!  Please send resume, cover letter and portfolio to jolson@forumphi.com.",Architects Needed in Aspen,https://newyork.craigslist.org/mnh/egr/6114147351.html,Competitive Salary with Full Benefits,Aspen,full-time
"Small NYC Architecture Firm Seeks Intern Architect 2-4 years experience

We are seeking a bright, motivated intern architect who is proficient in AutoCAD and 3D presentations. Applicant must have completed an architecture degree, have 2-4 years of experience in an architecture office and be actively seeking licensure. 

Position is full-time. Applicants who are currently located in NYC are preferred.

We employ a skilled staff of professionals, and handles a wide variety of assignments. Projects include commercial, residential, and institutional. Over 25 years in practice, the firm has created a niche for quality design at all scales.

Applicant MUST be Eligible to work in the US 

Salary Range
Commensurate upon experience and licensure.
Health/Dental/Vision/401K & Profit Sharing 
Job Type: Full-time",Intern Architect,https://newyork.craigslist.org/mnh/egr/6114533600.html,Commensurate upon experience and licensure.,Midtown,full-time
"Small, reputable and growing midtown Manhattan-based residential interior remodeling firm is looking for professional, personable Designer/Project Managers with a min 7 years in NYC residential interior design AND project management experience. We are looking for someone who can design, sell and manage full individual Co-op and Condo apartment/house interior and kitchen/bath renovation projects. Min 4 years on-site field experience, including at least 8 projects in Manhattan or other major city and be able to supervise the trades in the field. Prefer NYC resident or within 45 minute commute.


Please include resume and two kitchen layouts you've done.

We design the rooms, sell the products and then renovate kitchens, baths and complete apartment/house interiors for individual owners of coops, condo apartments and townhouses in the mid-to-high end market. Our project sales range from $40k to $400k.


The job requires proficiency in either Sketchup, Autocad, 20/20 or other design software. An essential component of the job will be excellent and frequent communication with the client, The ideal candidate will know how to maintain good rapport with the client, minimize difficulties through proper planning and be experienced enough to trouble-shoot unexpected field conditions. 

Responsibilities for project management include running the projects, client interactions, on-site managing, daily site visits, scheduling, coordinating and supervising trades, materials deliveries, quality control, problem solving and timely completions.

Design sales work will include meeting our clients at their home/apt and subsequently, designing, writing work scopes, meeting and guiding clients through product selections at our and other product showrooms. Creating products lists. Addressing design facets throughout.

Hours include some evening and weekend appointments. 

Real opportunities for advancement as we continue to grow and seek reliable professionals to take key roles in providing world class all in one, design-products-remodeling services.


Hiring Organization: All In One-Design, Products and Remodeling Service",Designer-Project Manager for Co-op Apartment Renovations,https://newyork.craigslist.org/mnh/egr/6113631321.html,"High commission based-10% of entire project on projects up to 60K, bonuses, phone reimbursement, $300 to health insurance",Midtown East,full-time
"ERS, a leading energy engineering firm, is looking for an energy efficiency professional for their attractive downtown Troy, New York growing office. ERS specializes in assessment of energy efficiency projects; the design, implementation and evaluation of energy efficiency programs for utilities and state organizations; renewable/sustainable building assessment; and energy analysis. ERS is headquartered in North Andover, Massachusetts with additional offices throughout the United States. 

The Director position will include managing staff and projects, working with existing clients and growing the business in the region. 

This position requires experience in the fields of energy efficiency engineering and/or consulting as well as strong project management skills. Knowledge of both energy efficiency practices and energy efficiency programs is preferred. 

 We are seeking candidates who have experience in some of the following areas:

• Energy Efficiency Program Management
• Engineering Staff Management
• Business Development
• Comprehensive Energy Assessments & Analyses 
• Industrial Process Efficiency and Productivity 
• Demand Management and Demand Response Strategies 
• Commissioning/Retro-Commissioning Services 
• Monitoring & Verification (M&V) and Impact Evaluation 
• High Performance and Green Buildings/LEED Certification 
• Building Simulation & Building Science 
• Compressed Air Supply and Demand-Side Enhancements 
• Lighting Design 

The successful candidate should also have strong communication and computer skills, be comfortable working with a diverse group of clients and managing staff assignments. 

ERS offers competitive salaries commensurate with experience and background, a comprehensive benefits package, relocation assistance and an excellent opportunity for growth.

The Troy location offers a picturesque setting along the water near New York's capitol city. Located just outside Albany along the Hudson River, Troy, a small centuries-old town is undergoing revitalization. Troy is a slower-moving and historically preserved slice of Americana. 

If you desire to have an impact on the growth of a company and want to work for a dynamic hardworking but fun environment, please email your resume, a cover letter explaining your interest in energy efficiency, and salary requirements to recruiting@ers-inc.com. Please note job code DTNY in subject line. 

No Recruiters please.",Wanted Energy Efficiency Professional/ Director: Seeking to Relocate,https://newyork.craigslist.org/mnh/egr/6114134810.html,DOE,"Troy, NY",full-time
"Architectural firm in Bergen County, New Jersey is looking for a highly motivated, detail orientated architectural draftsperson with zero to three years experience (entry level ok). The available full time position offers the opportunity to learn within a growing firm. Bachelor of Architecture degree is required. Knowledge of Autocad and Revit is required, rendering and presentation skills are a plus. Please send a PDF of your resume and cover letter with salary requirements.",Entry Level Position at Architecture Firm,https://newyork.craigslist.org/jsy/egr/6105254100.html,Provide salary requirements,,full-time
"P.A. Collins PE, an MEP Consulting Engineering firm, with a wide variety of projects seeks CAD/BIM operator, 2-3 years experience in drafting building systems. Excellent spoken and written English skills, self-starter, team player, detail oriented a must. Health insurance, benefits, pension plan. Immediate opening
- Sufficient knowledge of drawings to understand red pencil mark ups and to draft. Knowledge of duct sizing plus.
- Able to convert backgrounds eliminating layers and attaching x-refs
- Able to read floor plans, sections and elevations 
-  Experience with manipulating and receiving various file formats
- Available to work necessary hours in order to meet project deadlines.

Send resume and salary requirements",Daftsperson,https://newyork.craigslist.org/mnh/egr/6105388534.html,"According to experience, competitive",Flatiron,full-time
"EOC‐NY is a multifaceted, full‐service engineering and consulting firm providing structural,
architectural, and geotechnical services for an array of restoration and new construction
applications. We are always looking for diverse, passionate, and talented individuals. We believe
that an open and transparent office environment facilitates ingenuity and progress. New ideas are
always welcomed.

At present, we are seeking a full time drafter to take on variety of drafting and design tasks. The
position offers benefits, bonus incentive and overtime rate for working over 40 hr.'s a week.

Responsibilities:
Ability to produce construction drawing sets
Add structural details to architectural plans from knowledge of building techniques
Convert the designs of architects and engineers into technical drawings and plans
Work from rough sketches and specifications created by engineers and architects
Prepare and draw architectural and structural features of buildings for construction projects
Assist engineers and architects by spotting problems with plans and designs
Pay close attention to details so that the plans are technically accurate to the outlined
specifications
Analyze architectural drawings, specifications, and other documentation to prepare shop
drawings for approval by project management and/or clients

Qualifications:
Proficient with drafting softwares (Revit/AutoCAD) is a must
Proficient with BIM
Ability to produce 2D & 3D design drawings
Strong command of fundamental design & drafting principles
Ability to take advice and constructive criticism, as well as to offer it
Ability to solve mathematical calculations involving angles, weights, and costs
Ability to work efficiently in order to produce the required output according to set schedules
Ability to work successfully in a collaborative team oriented environment
Excellent written and verbal communication skills
Excellent interpersonal and problem‐solving skills
Proficient in MS office
A min of 2 years of previous work experience
A min of post-secondary education in drafting, typically a 2‐year associate's degree from a
technical institute is a must",Seeking a full time drafter,https://newyork.craigslist.org/mnh/egr/6114639739.html,Based on expereince,"Brooklyn, NY",full-time
"Concrete Foundation and Superstructure construction company requires layout/as built land surveyor.

The Role:
The candidate will be responsible for all field surveying duties.

Daily activities include:
Layout of Footings, Columns, Walls, Elevators, Edge Of Slab using Total Station.
Establishing Benchmarks for Form-work shoring construction.
Overall Responsibility for laying out all elements and controlling line and level for Superstructure Works.
Producing As Built Surveys for Elevator Shafts, Stairwells, Columns & Edge Of Slab.
Checking co-ordination and dimensional checks with Architectural and Structural Drawings.
Raise any RFI 's necessary to keep operations moving in the field.
Calculate Volumes for Slab Pours for the Construction of Superstructure.
Demonstrate Appropriate Health and Safety leadership to ensure that the safety first and foremost message is visible.

Proficiency with the use of AutoCAD.
Proficiency with GPS and Total Station
Knowledge of Revit, Bluebeam.

Ability to produce Edge of Slab drawings for Field Use.
Ability to work as a team player.
Possess organizational and communication skills
Experience in construction layout and as built surveying is essential.

Successful candidate must have valid clean Drivers License and 10 hour OSHA Card.

Job Type: Full-time

Required experience:

Land Surveyor: 2 years
Required license or certification:

Drivers License",Land Surveyor/ Construction Layout,https://newyork.craigslist.org/que/egr/6105527429.html,DOE,Queens,full-time
"Based in Bay Ridge Brooklyn
Temp-perm

•	Minimum of five years' applicable experience.
•	Candidate must have residential construction experience.
•	Candidate must be able to manage 10 - 20 residential construction projects Four-year degree is required
•	Conduct weekly project status meetings with contractor.
•	Act as Owners' Representative for construction change orders, inspections, payments, design, and municipal building department coordination.
•	Provide, edit, and verify scopes of work for Minor Repair Program completion of work not completed by applicant.","Construction Project Manager  (Bayridge, Brooklyn)",https://newyork.craigslist.org/brk/egr/6105530781.html,Hourly rate 40 plus DOE,,full-time
"ASSISTANT to ESTIMATOR
Electrical Contractor seeking assistant in a fast paced, energetic environment.

Responsibilities;
Take offs from blueprints
Getting quotes for fixture packages
Work with estimator
Communicate with clients
Follow up on proposals
Maintain spreadsheets
Work with dispatcher/ Project Manager
Miscellaneous tasks
Administrative support

Requirements:
Excellent with written and spoken English
Familiar with excel spreadsheets
Meticulous, with attention to details
Ability to multi task 
Experience with Accu Bid a plus",Estimator Assistant,https://newyork.craigslist.org/mnh/egr/6105603276.html,Negotiable,,full-time
"Seeking hard working, detail oriented and organized licensed Filing Representative.

Required skills:
Knowledge and proficiency with NYC DOB forms and procedures.
*Must have own Class 1 or 2 Filing Representative license

Please email resume and salary history.",NYC DOB Expeditor/Filing Representative,https://newyork.craigslist.org/mnh/egr/6105605857.html,Commensurate with experience,Midtown West,employee's choice
"TCC, Inc. has the need for traffic data collectors to be utilized for DOT projects.  Work involves the observation and recording of the following; intersection traffic counts, pedestrian counts, vehicle queue lengths and speed studies. Pay rates start at $12.00 per hour, depending on specifics of the assignment. In general possible work days would be; Tuesday, Wednesday, Thursday and / or Saturdays. Hours vary  but typically revolve around the commuter peak period; AM 7-10, Midday 11-2 and PM 4-7 and Saturday 11am - 3pm.  Projects run throughout the NYC area and other similar assignments are available in other areas of New York.
Please E-Mail with your name and contact information to schedule a conference  or call with any questions which you may have and ask for Arty.",Temporary  Traffic  Data Collector,https://newyork.craigslist.org/mnh/egr/6105699200.html,"$48.00 Per Shift;  AM, Midday & PM.",NY,contract
"Our company is offering a shop management position for a recent graduate with  a degree related to architecture/engineering. 

We are a top fabricator in the Northeast for custom metal facade and roofing components. It would be great to have someone join our team with good communication skills and ready to learn our business and technical advancements. 

This position requires the following:

- Communication Skills - Discussing details in depth with project managers and shop workers. 
- Organizational development - Maintaining a well balanced flow of digital and physical files.
- Efficient worker - Prioritizing projects depending on how long they take and their deadlines.
- Multitasking - Able to handle various projects simultaneously to decrease delays and waste.
- Interested to learn architectural methods/materials in Roofing/Facade 


We are looking for someone who is:
- Self-motivated and able to receive/use constructive criticism
- Communicative; willing to ask questions, share their ideas 
- Team Players willing to work with others
- Punctual, reliable and responsible


Candidates must have knowledge of Microsoft Office, AutoCAD, and Rhino. Spanish speaking is a plus!

***We are looking to hire for a full time position, further details upon review.***",Shop Manager (waterjet),https://newyork.craigslist.org/que/egr/6105492477.html,TBD,Long Island City,full-time
"Varco Pruden Buildings, a world leader in the pre-engineered steel systems construction industry, has an immediate opening for a  in our Regional Service Center located in 



Varco Pruden, a division of BlueScope Buildings, offers a competitive pay and benefits package and the advantage of a casual environment that is professionally supportive and quality driven. 



Qualified Engineers will be responsible for producing structural engineering designs and details for low-rise, non-residential building construction using our computer aided design program. 













  


 

EEO Employer / Disabled / Protected Veteran



BlueScope is an equal opportunity employer.  All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status, as a protected veteran, among other things, or status as a qualified individual with disability.",Civil Engineer - Commercial / Non-residential,https://newyork.craigslist.org/brk/egr/6105779499.html,Competitive pay and benefits package,,full-time
"Seeking hard working, detail oriented architect.

Required skills:
Proficiency in Autocad/Autodesk
Experience measuring and preparing drawings
On-site inspection of construction work.

Familiarity with NYC building codes and DOB procedures a plus.

Please email resume and salary history.",Architect  / Junior Architect,https://newyork.craigslist.org/mnh/egr/6105609117.html,Based on experience,Midtown West,full-time
"Varco Pruden Buildings, a world leader in the pre-engineered steel systems construction industry, has an immediate opening for a  in our Regional Service Center located in 



Varco Pruden, a division of BlueScope Buildings, offers a competitive pay and benefits package and the advantage of a casual environment that is professionally supportive and quality driven. 



Qualified Engineers will be responsible for producing structural engineering designs and details for low-rise, non-residential building construction using our computer aided design program. 













  


 

EEO Employer / Disabled / Protected Veteran



BlueScope is an equal opportunity employer.  All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status, as a protected veteran, among other things, or status as a qualified individual with disability.",Civil Engineer - Commercial / Non-residential,https://newyork.craigslist.org/brx/egr/6105779575.html,Competitive pay and benefits package,,full-time
"Varco Pruden Buildings, a world leader in the pre-engineered steel systems construction industry, has an immediate opening for a  in our Regional Service Center located in 



Varco Pruden, a division of BlueScope Buildings, offers a competitive pay and benefits package and the advantage of a casual environment that is professionally supportive and quality driven. 



Qualified Engineers will be responsible for producing structural engineering designs and details for low-rise, non-residential building construction using our computer aided design program. 













  


 

EEO Employer / Disabled / Protected Veteran



BlueScope is an equal opportunity employer.  All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status, as a protected veteran, among other things, or status as a qualified individual with disability.",Civil Engineer - Commercial / Non-residential,https://newyork.craigslist.org/jsy/egr/6105779609.html,Competitive pay and benefits package,,full-time
"Varco Pruden Buildings, a world leader in the pre-engineered steel systems construction industry, has an immediate opening for a  in our Regional Service Center located in 



Varco Pruden, a division of BlueScope Buildings, offers a competitive pay and benefits package and the advantage of a casual environment that is professionally supportive and quality driven. 



Qualified Engineers will be responsible for producing structural engineering designs and details for low-rise, non-residential building construction using our computer aided design program. 













  


 

EEO Employer / Disabled / Protected Veteran



BlueScope is an equal opportunity employer.  All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status, as a protected veteran, among other things, or status as a qualified individual with disability.",Civil Engineer - Commercial / Non-residential,https://newyork.craigslist.org/lgi/egr/6105779656.html,Competitive pay and benefits package,,full-time
"Varco Pruden Buildings, a world leader in the pre-engineered steel systems construction industry, has an immediate opening for a  in our Regional Service Center located in 



Varco Pruden, a division of BlueScope Buildings, offers a competitive pay and benefits package and the advantage of a casual environment that is professionally supportive and quality driven. 



Qualified Engineers will be responsible for producing structural engineering designs and details for low-rise, non-residential building construction using our computer aided design program. 













  


 

EEO Employer / Disabled / Protected Veteran



BlueScope is an equal opportunity employer.  All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status, as a protected veteran, among other things, or status as a qualified individual with disability.",Civil Engineer - Commercial / Non-residential,https://newyork.craigslist.org/que/egr/6105779536.html,Competitive pay and benefits package,,full-time
"B & H Engineers is a multi-disciplined metropolitan engineering firm  (in Queens, NY) specializing in condition inspection of bridges and construction inspection on bridge and highway projects for public clients. If you tired of a desk job and like working outside on challenging, important, and interesting assignments, we have openings in:



BRIDGE INSPECTION TEAM LEADERS - New York or New Jersey Professional Engineers with experience in inspection of small bridges or long-span bridges.



BRIDGE INSPECTION ASSISTANT TEAM LEADERS - BS Degree in Civil Engineering and 2 years experience



BRIDGE INSPECTION TEAM MEMBERS - BS Degree in Civil Engineering.



We offer an excellent benefits package, a high quality work environment, and professional growth.



Please e-mail resume to vjd@bheng.com or fax to (718) 747-6873.",ENGINEERS - BRIDGE CONDITION INSPECTORS,https://newyork.craigslist.org/que/egr/6105779872.html,commensurate with experience,METROPOLITAN AREA,full-time
"We are seeking a dedicated, passionate member with individual design, planning, and problem solving skills for immediate opportunities as an Urban Designer.  The type of project work encompasses urban redevelopment, strategic planning, downtown revitalization, large scale mixed use and design of the public realm.  This position requires the candidate to support the project team leaders and produce presentations, drawings, and reports suitable for the team and client.

 

Job Responsibilities:

-Reporting to the Project Manager and Principal in Charge responsible for the individual project, the Urban Designer will be responsible for assisting in a design driven approach to Master Planning, Site Planning, and Placemaking exercises utilizing, diagraming, GIS based analytical analysis, 3D Modeling, and Digital Presentation Packaging.

-Prepare presentations to project steering committees and public and private sector clients.

-Prepare for and participate in Stakeholder and Public Community Meetings.

-Prepare final reports including writing first draft of text and layout in Adobe InDesign.

 

Key Skills:

- Bachelor or Master Degree in Architecture is required.

-In addition, a Master's Degree in Urban Design and/or Planning is preferred.

-Minimum of 3 to 5 years' experience in Urban Design or Planning projects in the U.S.

-Ability to work on multiple projects at the same time.

-Strong graphic/diagraming, verbal and written communication skills.

-Experience with Site Planning and Zoning analysis

-Proficiency with AutoCAD, Adobe Creative Suite (Illustrator, Photoshop, and InDesign in particular), Sketch-up, and Microsoft office suite including PowerPoint required.

-Proficiency with ARCGIS is a plus",Intermediate Urban Designer,https://newyork.craigslist.org/mnh/egr/6105811579.html,Salary to commensurate with experience.,Midtown,full-time
